topics,coherence_score
2,-1.318664654214233
3,-1.3630773225046935
4,-1.4689639065203441
5,-1.4660620854416657
6,-1.5191442088627902
7,-2.9840172930765476
8,-2.070139615523787
9,-1.7114885070954537
10,-2.062472733220864
