topics,coherence_score
2,-1.3554011053541424
3,-1.377995144469157
4,-1.4485375626642312
5,-1.4896042829335339
6,-3.133598352487828
7,-2.5509058673712013
8,-2.643439631392585
9,-1.9314636948921284
10,-2.5657367857015334
