topics,coherence_score
2,-1.3363984706544614
3,-1.385269204715315
4,-1.407967144152936
5,-1.3822267601748832
6,-1.4723489546516535
7,-1.448061044977602
8,-1.4500330373561852
9,-1.3723091683371365
10,-1.4169731401237806
